u.userId,u.profileName,cnt
AQZH7YTWQPOBE,Enjolras,107
A3T3USBHXZ5Q7F,D. Petersen,70
AWG2O9C42XW5G,"David A. Smith ""Happy Halloween2012""",57
A2582KMXLK2P06,B. E Jackson,56
A3JLOIXFM75QNV,"Val ""LOTRMatrixHPLostFreak""",56
AQ01Q3070LT29,James McDonald,56
A3B62CEEBAKM7M,USA,56
A2YKADCJME4FSW,Tom Birkenstock,56
A2OCJNB6B46OKP,"Underground Reborn ""gnome""",56
AXRS4VY0OPNC7,Jacqueline L. Smith,56
ANGH6401L9Y0T,"Barbara Frederick ""auntb93""",56
A3PAJ1KIMSH7FS,"S. Durocher ""GemmaKnight""",56
A3T0OTH5072YRE,"M. Reynard ""kairosdreaming""",56
A2N3N439PRGV3I,Gregory Bravo,55
A26EVICJKBSPI8,MacMan73,55
ARMVAHWQQ9S8A,"Pat Shand ""Pat Shand""",54
A370Z6I5GBWU44,"M ""CultOfStrawberry""",47
A3CF1HKYTQXR8Z,"Dorkus ""wheels""",47
AK6CZK11R2VOU,Jennifer Thompson,47
A3LWV5NTVGFEH8,SShepard,47
A38JWSLCF9AYOZ,Fluffy's Owner,46
A3NX73DH3V7KR5,"DustyMountainShadow ""DustyMountainShadow""",44
AUM3YMZ0YRJE0,Robert J. Crawford,44
A2TAPL67U2A5HM,Bjorn Viberg,44
AER15RIMV8E6D,Pumpkin Man,42
A18HHKM6WGEF9D,"L. Erickson ""Mommy Mystic""",42
A2RC0RI2KD73Q8,Ausseome Bumblebee,42
A5EKUC02QJKWE,"A. Rodriguez ""Kapuffy""",42
A25EPLCBAOLY67,"Jermaine Stewart ""stewy_gt""",39
A15QX1LDYJT300,"Kathleen Lee Anderson ""Kitty Anderson""",39
A3VIJCEIUL694T,shrike4242,37
A3KB1H0S7T6JX1,L Gontzes,37
A1PBFJBKDVN44A,GoMavs37,37
A1QME49H2OBFG3,Hussain Mustafa,37
A2UHIQNHUD3XFR,Jesse,37
A1POFVVXUZR3IQ,Z Hayes,37
A3NZQ0KTNYMVGL,PWD,36
A20EEWWSFMZ1PN,"bernie ""webviator""",35
A1HBC0NBQJHT7X,Bookphile,35
A63JC7WYAXUBO,Bethy,35
A38UHOCEKSUOSP,"dominion_ruler ""Bryan""",35
A2HDJDMP7USKZQ,"Nicholas R. Herum ""Movies Hate You Too""",35
ADF1UM71XCZGK,Hazel,35
A2RKI7RPP5CJMG,"K. Fontenot ""Prairie Cajun Regenerated!""",35
A2GPEV42IO41CI,Kona,35
A239PPUVV8O0U0,"D. Reed ""The Movie Critic""",35
A19ZXK9HHVRV1X,Roland E. Zwick,34
A1Q9F3V3ZWRRL5,Jerry Whitehurst,34
A1JH5J1KQAUBMP,David Bonesteel,34
A3JF20SQUCWJUV,"S. Humphrey ""shumphrey""",33
A3QOG5KOGINYQX,"Teresa De Grosbois ""Marie""",33
A2BT578J4IZOK6,"Craobh Rua ""Craobh Rua""",33
A1CLHGYM5NIM4C,Christian Cavicchio,33
A10G4BPT5MGBHY,Julie Neal,33
A2I6MHMAZZDCRX,Mark Baker,33
A1X054KUYG5V,One-Line Film Reviews,33
A3EANUTZH5Z8BS,tatboy,33
A30XIA91FKVBCL,shannon C,33
A3UU7PXNVCVI36,Chlorisaann,33
A2OU415LB9I5J6,Jason C. Wilkerson,32
A1KMG1AIUS00DC,"The Movie Man ""tenebre89""",32
A1RSXP7MB772E3,"Jeff W. Shimkus ""Movie Manji""",32
A3UPYGJKZ0XTU4,mirasreviews,32
A1DK5AZMXS1QA3,Newton Ooi,32
